planner,generator,difficulty,instance,name,time_taken,expanded_states,plan_length
lama,YYTBB,4,21,level_04_seed_021,3.69,1427,35
lama,YYTBB,3,10,level_03_seed_010,3.34,1594,29
lama,YYTBB,2,6,level_02_seed_006,4.77,747,35
lama,YYTBB,1,15,level_01_seed_015,2.61,621,20
lama,YYTBB,2,2,level_02_seed_002,7.07,1042,27
lama,YYTBB,3,19,level_03_seed_019,3.25,1880,32
lama,YYTBB,4,14,level_04_seed_014,4.21,1685,45
lama,QSAT,0,10,level_00_seed_010,4.17,20011,200
lama,QSAT,3,0,level_03_seed_000,6.15,124816,272
lama,QSAT,4,3,level_04_seed_003,18.89,832937,206
lama,QSAT,2,8,level_02_seed_008,5.21,97579,336
lama,QSAT,3,5,level_03_seed_005,4.45,38802,288
lama,QSAT,2,27,level_02_seed_027,4.4,53437,534
lama,QSAT,3,12,level_03_seed_012,4.58,59555,304
lama,QSAT,3,27,level_03_seed_027,5.94,153033,558
lama,QSAT,2,16,level_02_seed_016,6.22,166185,320
lama,QSAT,4,9,level_04_seed_009,8.27,219737,316
lama,QSAT,0,19,level_00_seed_019,4.69,68983,496
lama,QSAT,1,23,level_01_seed_023,4.87,71088,488
lama,QSAT,2,15,level_02_seed_015,5.12,111167,596
lama,QSAT,3,28,level_03_seed_028,9.55,330884,178
lama,QSAT,1,19,level_01_seed_019,4.63,52093,252
lama,QSAT,2,4,level_02_seed_004,5.19,84331,256
lama,QSAT,0,8,level_00_seed_008,4.96,76893,418
lama,QSAT,3,8,level_03_seed_008,4.1,29510,276
lama,QSAT,2,10,level_02_seed_010,5.07,53188,268
lama,QSAT,3,7,level_03_seed_007,7.23,204250,142
lama,QSAT,0,20,level_00_seed_020,4.86,46734,128
lama,QSAT,2,11,level_02_seed_011,4.48,42761,236
lama,QSAT,1,16,level_01_seed_016,6.09,142579,140
lama,QSAT,4,20,level_04_seed_020,18.78,727976,324
lama,QSAT,0,0,level_00_seed_000,4.67,42797,228
lama,QSAT,4,19,level_04_seed_019,23.61,918972,1060
lama,QSAT,2,1,level_02_seed_001,4.45,39988,462
lama,QSAT,3,22,level_03_seed_022,10.18,409561,180
lama,QSAT,1,28,level_01_seed_028,4.94,57780,256
lama,QSAT,3,23,level_03_seed_023,6.45,182011,340
lama,QSAT,1,21,level_01_seed_021,5.35,84030,138
lama,QSAT,3,20,level_03_seed_020,10.76,441983,166
lama,QSAT,4,18,level_04_seed_018,24.2,1113612,428
lama,QSAT,4,6,level_04_seed_006,10.75,363368,316
lama,QSAT,4,22,level_04_seed_022,11.7,366369,292
lama,QSAT,0,2,level_00_seed_002,4.6,46095,252
lama,QSAT,0,13,level_00_seed_013,4.62,47171,468
lama,QSAT,2,14,level_02_seed_014,4.69,69068,534
lama,QSAT,2,22,level_02_seed_022,4.93,47628,224
lama,QSAT,2,20,level_02_seed_020,5.34,105548,142
lama,QSAT,0,12,level_00_seed_012,4.52,18082,346
lama,QSAT,0,27,level_00_seed_027,4.57,31460,434
lama,QSAT,4,12,level_04_seed_012,7.02,157503,558
lama,QSAT,2,28,level_02_seed_028,5.2,87239,280
lama,QSAT,3,15,level_03_seed_015,4.51,57211,302
lama,QSAT,1,13,level_01_seed_013,4.56,41504,256
lama,QSAT,4,1,level_04_seed_001,16.44,671777,542
lama,QSAT,4,29,level_04_seed_029,9.0,258490,356
lama,QSAT,3,3,level_03_seed_003,4.22,41202,558
lama,QSAT,4,24,level_04_seed_024,15.62,539457,316
lama,QSAT,1,10,level_01_seed_010,4.23,32419,418
lama,QSAT,0,3,level_00_seed_003,4.98,71288,680
lama,QSAT,1,9,level_01_seed_009,5.06,54379,140
lama,QSAT,2,25,level_02_seed_025,5.4,106268,302
lama,QSAT,4,13,level_04_seed_013,71.12,3464070,208
lama,QSAT,1,25,level_01_seed_025,4.46,30196,212
lama,QSAT,3,9,level_03_seed_009,4.73,71871,580
lama,QSAT,0,22,level_00_seed_022,4.83,24204,130
lama,QSAT,2,26,level_02_seed_026,4.35,45175,502
lama,QSAT,0,7,level_00_seed_007,4.45,23995,418
lama,QSAT,0,4,level_00_seed_004,5.33,44278,120
lama,QSAT,0,26,level_00_seed_026,4.78,15086,326
lama,QSAT,1,4,level_01_seed_004,5.32,91630,142
lama,QSAT,1,14,level_01_seed_014,5.01,81436,284
lama,QSAT,3,13,level_03_seed_013,4.71,53770,288
lama,QSAT,4,7,level_04_seed_007,16.33,560914,320
lama,QSAT,1,24,level_01_seed_024,5.06,97282,290
lama,QSAT,1,5,level_01_seed_005,4.53,18041,216
lama,QSAT,4,5,level_04_seed_005,7.81,213184,340
lama,QSAT,3,29,level_03_seed_029,7.1,224803,158
lama,QSAT,3,2,level_03_seed_002,5.34,87139,264
lama,QSAT,4,15,level_04_seed_015,8.24,251418,356
lama,QSAT,0,5,level_00_seed_005,4.76,43115,220
lama,QSAT,0,9,level_00_seed_009,4.42,30371,402
lama,QSAT,3,21,level_03_seed_021,8.26,284729,154
lama,QSAT,2,17,level_02_seed_017,5.41,112549,324
lama,QSAT,2,19,level_02_seed_019,4.63,54584,288
lama,QSAT,4,4,level_04_seed_004,8.79,267547,328
