planner,generator,difficulty,instance,name,time_taken,expanded_states,plan_length
seq-sat-fdss-2023,YYTBB,1,13,level_01_seed_013,3.45,165,20
seq-sat-fdss-2023,YYTBB,4,1,level_04_seed_001,4.98,1132,44
seq-sat-fdss-2023,YYTBB,4,29,level_04_seed_029,4.39,1440,59
seq-sat-fdss-2023,YYTBB,3,3,level_03_seed_003,3.63,713,26
seq-sat-fdss-2023,YYTBB,4,24,level_04_seed_024,4.6,1327,51
seq-sat-fdss-2023,YYTBB,1,10,level_01_seed_010,3.44,176,21
seq-sat-fdss-2023,YYTBB,0,3,level_00_seed_003,1.25,46,11
seq-sat-fdss-2023,YYTBB,1,9,level_01_seed_009,4.85,203,17
seq-sat-fdss-2023,YYTBB,2,25,level_02_seed_025,4.85,254,28
seq-sat-fdss-2023,YYTBB,4,13,level_04_seed_013,4.26,1142,46
seq-sat-fdss-2023,YYTBB,1,25,level_01_seed_025,2.06,124,15
seq-sat-fdss-2023,YYTBB,3,9,level_03_seed_009,3.7,851,36
seq-sat-fdss-2023,YYTBB,0,22,level_00_seed_022,0.99,53,7
seq-sat-fdss-2023,YYTBB,2,26,level_02_seed_026,6.28,370,35
seq-sat-fdss-2023,YYTBB,0,7,level_00_seed_007,1.07,46,6
seq-sat-fdss-2023,YYTBB,0,4,level_00_seed_004,1.11,55,10
seq-sat-fdss-2023,YYTBB,0,26,level_00_seed_026,1.25,50,6
seq-sat-fdss-2023,YYTBB,1,4,level_01_seed_004,4.71,232,17
seq-sat-fdss-2023,YYTBB,1,14,level_01_seed_014,3.12,163,22
seq-sat-fdss-2023,YYTBB,3,13,level_03_seed_013,3.69,640,30
seq-sat-fdss-2023,YYTBB,4,7,level_04_seed_007,4.88,955,52
seq-sat-fdss-2023,YYTBB,1,24,level_01_seed_024,3.45,188,15
seq-sat-fdss-2023,YYTBB,1,5,level_01_seed_005,5.11,82,11
seq-sat-fdss-2023,YYTBB,4,5,level_04_seed_005,4.64,609,40
seq-sat-fdss-2023,YYTBB,3,29,level_03_seed_029,3.73,636,33
seq-sat-fdss-2023,YYTBB,3,2,level_03_seed_002,3.72,1301,37
seq-sat-fdss-2023,YYTBB,4,15,level_04_seed_015,4.62,593,30
seq-sat-fdss-2023,YYTBB,0,5,level_00_seed_005,1.28,61,9
seq-sat-fdss-2023,YYTBB,0,9,level_00_seed_009,1.43,60,10
seq-sat-fdss-2023,YYTBB,3,21,level_03_seed_021,3.54,514,23
seq-sat-fdss-2023,YYTBB,2,17,level_02_seed_017,4.16,209,29
seq-sat-fdss-2023,YYTBB,2,19,level_02_seed_019,5.61,210,26
seq-sat-fdss-2023,YYTBB,4,4,level_04_seed_004,4.51,911,37
seq-sat-fdss-2023,YYTBB,0,28,level_00_seed_028,0.76,23,6
seq-sat-fdss-2023,YYTBB,0,21,level_00_seed_021,1.35,66,7
seq-sat-fdss-2023,YYTBB,0,11,level_00_seed_011,1.26,57,7
seq-sat-fdss-2023,YYTBB,3,16,level_03_seed_016,3.53,449,25
seq-sat-fdss-2023,YYTBB,2,24,level_02_seed_024,4.92,172,21
seq-sat-fdss-2023,YYTBB,1,22,level_01_seed_022,3.65,211,23
seq-sat-fdss-2023,YYTBB,3,4,level_03_seed_004,3.7,470,29
seq-sat-fdss-2023,YYTBB,3,11,level_03_seed_011,3.92,701,50
seq-sat-fdss-2023,YYTBB,0,29,level_00_seed_029,1.1,44,6
seq-sat-fdss-2023,YYTBB,3,6,level_03_seed_006,3.69,624,38
seq-sat-fdss-2023,YYTBB,1,3,level_01_seed_003,2.88,221,17
seq-sat-fdss-2023,YYTBB,3,25,level_03_seed_025,3.77,1091,47
seq-sat-fdss-2023,YYTBB,2,29,level_02_seed_029,3.66,196,21
seq-sat-fdss-2023,YYTBB,1,12,level_01_seed_012,5.59,112,12
seq-sat-fdss-2023,YYTBB,2,5,level_02_seed_005,2.34,110,23
seq-sat-fdss-2023,YYTBB,4,0,level_04_seed_000,5.01,1081,57
seq-sat-fdss-2023,YYTBB,2,23,level_02_seed_023,3.77,209,35
seq-sat-fdss-2023,YYTBB,3,1,level_03_seed_001,3.6,593,35
seq-sat-fdss-2023,YYTBB,4,23,level_04_seed_023,4.72,903,42
seq-sat-fdss-2023,YYTBB,1,11,level_01_seed_011,4.18,201,28
seq-sat-fdss-2023,YYTBB,4,10,level_04_seed_010,4.93,893,43
seq-sat-fdss-2023,YYTBB,2,9,level_02_seed_009,4.23,293,35
seq-sat-fdss-2023,YYTBB,1,26,level_01_seed_026,3.63,135,15
seq-sat-fdss-2023,YYTBB,4,16,level_04_seed_016,4.19,754,45
seq-sat-fdss-2023,YYTBB,1,27,level_01_seed_027,3.15,213,18
seq-sat-fdss-2023,YYTBB,1,29,level_01_seed_029,3.7,263,18
seq-sat-fdss-2023,YYTBB,1,20,level_01_seed_020,3.72,87,13
seq-sat-fdss-2023,YYTBB,1,8,level_01_seed_008,2.96,212,19
seq-sat-fdss-2023,YYTBB,0,15,level_00_seed_015,0.99,49,9
seq-sat-fdss-2023,YYTBB,0,14,level_00_seed_014,0.94,50,8
seq-sat-fdss-2023,YYTBB,1,17,level_01_seed_017,4.14,301,25
seq-sat-fdss-2023,YYTBB,1,7,level_01_seed_007,2.53,265,20
seq-sat-fdss-2023,YYTBB,0,25,level_00_seed_025,1.1,40,13
seq-sat-fdss-2023,YYTBB,3,24,level_03_seed_024,3.53,689,39
seq-sat-fdss-2023,YYTBB,0,24,level_00_seed_024,0.96,46,10
seq-sat-fdss-2023,YYTBB,4,25,level_04_seed_025,5.1,443,41
seq-sat-fdss-2023,YYTBB,0,1,level_00_seed_001,1.08,35,11
seq-sat-fdss-2023,YYTBB,4,27,level_04_seed_027,4.5,784,41
seq-sat-fdss-2023,YYTBB,2,13,level_02_seed_013,7.01,193,24
seq-sat-fdss-2023,YYTBB,2,0,level_02_seed_000,4.12,220,26
seq-sat-fdss-2023,YYTBB,1,6,level_01_seed_006,5.82,117,11
seq-sat-fdss-2023,YYTBB,0,17,level_00_seed_017,0.87,37,6
seq-sat-fdss-2023,YYTBB,3,17,level_03_seed_017,3.7,483,25
seq-sat-fdss-2023,YYTBB,4,26,level_04_seed_026,4.16,521,33
seq-sat-fdss-2023,YYTBB,0,18,level_00_seed_018,1.32,54,6
seq-sat-fdss-2023,YYTBB,3,14,level_03_seed_014,3.7,792,32
seq-sat-fdss-2023,YYTBB,4,28,level_04_seed_028,4.74,556,30
seq-sat-fdss-2023,YYTBB,1,1,level_01_seed_001,3.46,121,12
seq-sat-fdss-2023,YYTBB,2,21,level_02_seed_021,3.81,303,27
seq-sat-fdss-2023,YYTBB,3,18,level_03_seed_018,3.68,890,32
seq-sat-fdss-2023,YYTBB,0,6,level_00_seed_006,1.66,75,7
seq-sat-fdss-2023,YYTBB,0,23,level_00_seed_023,0.83,36,6
seq-sat-fdss-2023,YYTBB,2,7,level_02_seed_007,3.9,177,24
seq-sat-fdss-2023,YYTBB,4,8,level_04_seed_008,4.45,1294,34
seq-sat-fdss-2023,YYTBB,0,16,level_00_seed_016,0.92,38,10
seq-sat-fdss-2023,YYTBB,4,17,level_04_seed_017,4.95,666,56
seq-sat-fdss-2023,YYTBB,1,0,level_01_seed_000,4.06,180,17
seq-sat-fdss-2023,YYTBB,4,2,level_04_seed_002,4.55,725,41
seq-sat-fdss-2023,YYTBB,2,3,level_02_seed_003,6.31,204,24
seq-sat-fdss-2023,YYTBB,1,2,level_01_seed_002,3.27,246,19
seq-sat-fdss-2023,YYTBB,1,18,level_01_seed_018,3.59,177,26
seq-sat-fdss-2023,YYTBB,4,11,level_04_seed_011,4.65,1018,53
seq-sat-fdss-2023,YYTBB,3,26,level_03_seed_026,3.75,470,29
seq-sat-fdss-2023,YYTBB,2,12,level_02_seed_012,5.34,155,23
seq-sat-fdss-2023,YYTBB,2,18,level_02_seed_018,3.59,334,41
seq-sat-fdss-2023,YYTBB,4,21,level_04_seed_021,3.97,667,31
seq-sat-fdss-2023,YYTBB,3,10,level_03_seed_010,3.73,468,29
seq-sat-fdss-2023,YYTBB,2,6,level_02_seed_006,5.15,244,35
seq-sat-fdss-2023,YYTBB,1,15,level_01_seed_015,2.86,163,24
seq-sat-fdss-2023,YYTBB,2,2,level_02_seed_002,7.17,356,28
seq-sat-fdss-2023,YYTBB,3,19,level_03_seed_019,3.73,514,32
seq-sat-fdss-2023,YYTBB,4,14,level_04_seed_014,4.7,894,46
seq-sat-fdss-2023,ROCK,0,10,level_00_seed_010,0.57,13,13
seq-sat-fdss-2023,ROCK,3,0,level_03_seed_000,8.5,104,39
seq-sat-fdss-2023,ROCK,4,3,level_04_seed_003,7.62,234,56
seq-sat-fdss-2023,ROCK,2,8,level_02_seed_008,0.26,14,14
seq-sat-fdss-2023,ROCK,3,5,level_03_seed_005,8.02,131,35
seq-sat-fdss-2023,ROCK,2,27,level_02_seed_027,1.43,22,14
seq-sat-fdss-2023,ROCK,3,12,level_03_seed_012,8.11,117,35
seq-sat-fdss-2023,ROCK,3,27,level_03_seed_027,9.25,88,39
seq-sat-fdss-2023,ROCK,2,16,level_02_seed_016,0.72,41,16
seq-sat-fdss-2023,ROCK,4,9,level_04_seed_009,7.37,86,45
seq-sat-fdss-2023,ROCK,0,19,level_00_seed_019,0.27,14,14
seq-sat-fdss-2023,ROCK,1,23,level_01_seed_023,0.71,18,14
seq-sat-fdss-2023,ROCK,2,15,level_02_seed_015,1.13,28,11
seq-sat-fdss-2023,ROCK,3,28,level_03_seed_028,6.9,132,38
seq-sat-fdss-2023,ROCK,1,19,level_01_seed_019,0.57,13,13
seq-sat-fdss-2023,ROCK,2,4,level_02_seed_004,1.58,101,18
seq-sat-fdss-2023,ROCK,0,8,level_00_seed_008,0.56,13,13
seq-sat-fdss-2023,ROCK,3,8,level_03_seed_008,8.18,109,44
seq-sat-fdss-2023,ROCK,2,10,level_02_seed_010,2.22,64,25
seq-sat-fdss-2023,ROCK,3,7,level_03_seed_007,9.09,111,49
seq-sat-fdss-2023,ROCK,0,20,level_00_seed_020,0.56,18,9
seq-sat-fdss-2023,ROCK,2,11,level_02_seed_011,0.57,13,13
seq-sat-fdss-2023,ROCK,1,16,level_01_seed_016,1.41,37,13
seq-sat-fdss-2023,ROCK,4,20,level_04_seed_020,8.09,140,48
seq-sat-fdss-2023,ROCK,0,0,level_00_seed_000,0.57,13,13
seq-sat-fdss-2023,ROCK,4,19,level_04_seed_019,6.63,135,39
seq-sat-fdss-2023,ROCK,2,1,level_02_seed_001,0.27,14,14
seq-sat-fdss-2023,ROCK,3,22,level_03_seed_022,8.07,80,31
seq-sat-fdss-2023,ROCK,1,28,level_01_seed_028,0.26,14,14
